Outward,lat,lon
AB1,57.12691534839925,391838.0131826742
AB10,57.13489614872364,392992.577136515
AB11,57.1847261709212,394438.3277777778
AB12,57.10340364915572,393446.8461538461
AB13,57.112247213114756,385441.1967213115
AB14,57.10341778443113,383563.1137724551
AB15,57.138628716577536,389939.3307868602
AB16,57.15937230277186,390626.21108742006
AB2,57.1712550684039,391542.19120521174
AB21,57.20691901940756,388031.1327885598
AB22,57.18655482051282,392832.24871794874
AB23,57.60601751162791,394704.4366197183
AB24,57.1634179979571,393550.0316649643
AB25,57.48217102760736,393176.28438948997
AB3,57.08759372693727,364004.2421586716
AB30,56.84527758807588,370987.7994579946
AB31,57.22662801860465,369499.3790849673
AB32,57.15437276018099,381081.278280543
AB33,57.22608834394905,355623.9108280255
AB34,57.09254377926422,351016.35785953177
AB35,57.0390298019802,330679.7623762376
AB36,57.19623272727273,335291.0363636364
AB37,57.32995854166666,318613.53125
AB38,57.485302717391306,326514.89130434784
AB39,57.0483103968254,387014.74721780606
AB4,57.534291478349125,392507.8761840325
AB41,57.407443042749364,393055.58305369125
AB42,57.57144641478439,406774.6482928836
AB43,57.88957323750856,397425.3055746731
AB44,57.66825234177215,370692.43670886074
AB45,57.713519001447175,366257.2173913043
AB5,57.4651480946036,361283.90406395734
AB51,57.504908058690745,375723.022121384
AB52,57.342279233716475,363834.275862069
AB53,57.53434957407408,375711.4925925926
AB54,57.54605435193945,354729.83222748816
AB55,57.757486052980134,341684.30758988013
AB56,57.71503579980373,345262.38703339885
AB9,57.18678589118199,393189.28169014084
AB99,81.61913714285713,394406.0
AL1,52.20024750738916,516113.04773744405
AL10,51.84089758706468,522172.84136212623
AL2,51.722276223350256,515378.12994923856
AL3,51.77542554621849,512787.16501145915
AL4,51.77129576015109,517671.7988668555
AL5,51.84562826786864,513733.18492268043
AL6,51.829902389649924,524177.2511415525
AL7,52.353597237643875,524941.756849315
AL8,51.803378183333336,523493.13333333336
AL9,51.74687962783172,524244.9352750809
B1,52.47960218918919,406356.55945945944
B10,52.470116805251635,410062.5864332604
B11,52.455379254598256,409625.34656340757
B12,52.46114139869281,408067.9241830065
B13,52.47693146017699,408061.1372896368
B14,52.418833603082845,407557.6464354528
B15,52.46799091334894,405300.018735363
B16,52.67614007601352,404703.91178965225
B17,52.461489649561955,402615.31163954944
B18,52.690085329153604,405381.4784889822
B19,52.49628279883382,406472.55102040817
B2,52.48632681395349,407069.23023255815
B20,52.51342577483444,405608.4794701987
B21,52.565521475826976,404426.552866242
B22,52.411739999999995,404938.0
B23,52.60250740331492,410176.45454545453
B24,52.519703599476436,411713.19240837696
B25,52.54631725314183,411866.7392086331
B26,52.46066547270306,414183.64580559253
B27,52.44577735294118,412073.79595588235
B28,52.42807564814815,410763.1724537037
B29,52.43775394454383,403816.14847942756
B3,52.48233043661972,406690.11971830984
B30,52.473807829457364,404985.167405765
B31,52.40910739506995,401903.56962025317
B32,52.49320613215859,400468.51499118167
B33,52.48088321997874,414496.4229543039
B34,52.495681276041665,414919.2135416667
B35,52.517144043956044,414352.56703296705
B36,52.50453112656467,415021.5841446453
B37,52.478440532481365,417634.0809371672
B38,52.40106704890388,404593.55817875214
B4,52.48384518672199,407313.65352697094
B40,52.45845888888889,418811.6666666667
B42,52.65272607721046,406624.1435705368
B43,52.547617294469354,404962.74887892377
B44,52.54502637844612,407851.7192982456
B45,52.38850831210191,399541.4161358811
B46,52.50706934328358,420620.90447761194
B47,52.388729999999995,408188.7559322034
B48,52.356902745901635,403393.1393442623
B49,52.30602406307978,409129.90706319705
B5,52.47212711622807,407102.9407894737
B50,52.37753391304348,409906.26200873364
B6,52.5024052283105,407771.2100456621
B60,52.36306947411668,396654.2886513158
B61,52.34430809907834,395474.4470046083
B62,52.60914120292887,397538.59496327385
B63,52.45307005865102,395514.44281524926
B64,52.47245233807267,395413.7251184834
B65,52.48283549689441,397146.75
B66,52.493666484784896,402415.62434417626
B67,52.48801989782886,401653.3793103448
B68,52.480064783237,399974.54479768785
B69,52.50287917783736,398403.13672922255
B7,52.49376553287982,408625.6530612245
B70,52.65603629124821,399921.2510791367
B71,52.534781584905666,400762.5157232704
B72,52.554433962765955,412059.2606382979
B73,52.65200271749756,411105.59353574924
B74,52.582370462487155,409770.07913669065
B75,52.577740815602844,412908.09692671394
B76,52.54477337975859,414371.9582172702
B77,52.62039726402189,422338.5075239398
B78,52.60739418326693,422020.88047808764
B79,52.64809596610169,421661.7570621469
B8,52.49003024390244,410771.92554557126
B80,52.27775007751938,407125.07751937985
B9,52.478095957972805,410094.39431396784
B90,52.400694836814615,411959.08355091384
B91,52.41399542695836,415006.8722653493
B92,52.435320843373496,415486.6330777656
B93,52.38324757714286,417656.01714285713
B94,52.352790564705884,414297.6635294118
B95,52.28726811455847,415070.44630071596
B96,52.254805189873416,402864.9029535865
B97,52.30364516768292,403552.69969512196
B98,52.30371519893899,405831.62599469494
B99,52.49594661016949,407276.3220338983
BA1,51.38879988693957,375034.6639376218
BA10,51.1122943283582,368774.6666666667
BA11,51.4999171967655,377309.9695121951
BA12,51.4537241,386968.4360632184
BA13,51.93574067754078,387173.36132315523
BA14,51.31899807247899,385927.343487395
BA15,51.34826615620215,381845.4808575804
BA16,51.12654833333333,348081.37442922377
BA2,51.36202435495627,373904.71428571426
BA20,50.93904640490798,354935.4392638037
